Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
213,213 - KARAKAT,1,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),73748,409,74157,37.51
213,213 - KARAKAT,2,BANDANA RAJ,Bahujan Samaj Party,7310,67,7377,3.73
213,213 - KARAKAT,3,MAHABALI SINGH,Janata Dal (United),71046,275,71321,36.07
213,213 - KARAKAT,4,MD. IRSHAD KHAN,Lohiya Janta Dal,992,3,995,0.5
213,213 - KARAKAT,5,NIRMAL SHARMA,Jagrook Janta Party,549,4,553,0.28
213,213 - KARAKAT,6,YOGENDRA SINGH,Jan Suraaj Party,7403,100,7503,3.79
213,213 - KARAKAT,7,AMIT UPADHAYAY,Independent,495,1,496,0.25
213,213 - KARAKAT,8,AMIT KUMAR MISHRA,Independent,662,5,667,0.34
213,213 - KARAKAT,9,AYODHYA RAM,Independent,585,2,587,0.3
213,213 - KARAKAT,10,ARUN SINGH (VILL-KURUR),Independent,592,8,600,0.3
213,213 - KARAKAT,11,JYOTI SINGH,Independent,23351,118,23469,11.87
213,213 - KARAKAT,12,BANSHIDHAR SINGH,Independent,3019,0,3019,1.53
213,213 - KARAKAT,13,MANTU CHOUDHARY,Independent,1206,0,1206,0.61
213,213 - KARAKAT,14,NOTA,None of the Above,5760,5,5765,2.92
